,interacted_at;DATA;;;;;;VENDAS TOTAIS;Compras e offers;REWARDS
58443;06/01/2019;21:09:00;1;;;;;;
59486;06/01/2019;21:11:00;1;;;;;;
59229;06/01/2019;21:14:00;1;;;;;;
59231;06/01/2019;21:20:00;1;;;;;;
59489;06/01/2019;21:33:00;1;;;;;;
59387;06/01/2019;21:41:00;1;;;;;;
58554;06/01/2019;21:54:00;1;;;;;;
58553;06/01/2019;21:55:00;1;;;;;;
59045;06/01/2019;21:56:00;1;;;;;;
59390;06/01/2019;21:59:00;1;;;;;;
58451;06/01/2019;22:14:00;1;;;;;;
59396;06/01/2019;22:26:00;1;;;;;;
58455;06/01/2019;22:28:00;1;;;;;;
59252;06/01/2019;22:37:00;1;;;;;;
59253;06/01/2019;22:40:00;1;;;;;;
59254;06/01/2019;22:43:00;1;;;;;;
59108;06/01/2019;22:45:00;1;;;;;;
59255;06/01/2019;22:46:00;1;;;;;;
59257;06/01/2019;22:52:00;1;;;;;;
59127;06/01/2019;22:53:00;1;;;;;;
59258;06/01/2019;22:55:00;1;;;;;;
59260;06/01/2019;23:00:00;1;;;;;;
58956;06/01/2019;23:03:00;1;;;;;;
58463;06/01/2019;23:12:00;1;;;;;;
59406;06/01/2019;23:17:00;1;;;;;;
59110;06/01/2019;23:28:00;1;;;;;;
59111;06/01/2019;23:30:00;1;;;;;;
59271;06/01/2019;23:39:00;1;;;;;;
59113;06/01/2019;23:41:00;1;;;;;;
58770;06/01/2019;23:41:00;1;;;;;;
59273;06/01/2019;23:45:00;1;;;;;;
59274;06/01/2019;23:49:00;1;;;;;;
48981;06/01/2019;23:51:00;1;;;;;;
59275;06/01/2019;23:51:00;1;;;;;;
59415;06/01/2019;23:54:00;1;;;;;;
59278;06/01/2019;23:57:00;1;;;;;;
59128;06/01/2019;23:59:00;1;;;;;;
1439;07/01/2019;00:00:00;1;;;;;;
1677;07/01/2019;00:21:00;1;;;;;;
62368;07/01/2019;00:36:00;1;;;;;;
62382;07/01/2019;00:38:00;1;;;;;;
62146;07/01/2019;01:10:00;1;;;;;;
62154;07/01/2019;01:11:00;1;;;;;;
62384;07/01/2019;13:50:00;1;;;;;;
1051;07/01/2019;14:42:00;1;;;;;;
62237;07/01/2019;14:48:00;1;;;;;;
1451;07/01/2019;14:48:00;1;;;;;;
1053;07/01/2019;14:51:00;1;;;;;;
1052;07/01/2019;14:51:00;1;;;;;;
1057;07/01/2019;14:59:00;1;;;;;;
1059;07/01/2019;15:03:00;1;;;;;;
62395;07/01/2019;15:03:00;1;;;;;;
1060;07/01/2019;15:05:00;1;;;;;;
1700;07/01/2019;15:12:00;1;;;;;;
1184;07/01/2019;15:13:00;1;;;;;;
1062;07/01/2019;15:15:00;1;;;;;;
1063;07/01/2019;15:16:00;1;;;;;;
62236;07/01/2019;15:21:00;1;;;;;;
1189;07/01/2019;15:24:00;1;;;;;;
62402;07/01/2019;15:27:00;1;;;;;;
1461;07/01/2019;15:28:00;1;;;;;;
1462;07/01/2019;15:28:00;1;;;;;;
912;07/01/2019;15:31:00;1;;;;;;
882;07/01/2019;15:32:00;1;;;;;;
1465;07/01/2019;15:33:00;1;;;;;;
1707;07/01/2019;15:33:00;1;;;;;;
62404;07/01/2019;15:34:00;1;;;;;;
1464;07/01/2019;15:39:00;1;;;;;;
62202;07/01/2019;15:40:00;1;;;;;;
1317;07/01/2019;15:42:00;1;;;;;;
62240;07/01/2019;15:44:00;1;;;;;;
1199;07/01/2019;15:44:00;1;;;;;;
1200;07/01/2019;15:45:00;1;;;;;;
62243;07/01/2019;15:45:00;1;;;;;;
62246;07/01/2019;15:46:00;1;;;;;;
62409;07/01/2019;15:51:00;1;;;;;;
1471;07/01/2019;15:52:00;1;;;;;;
62242;07/01/2019;15:52:00;1;;;;;;
62245;07/01/2019;15:53:00;1;;;;;;
1472;07/01/2019;15:54:00;1;;;;;;
1073;07/01/2019;15:57:00;1;;;;;;
1710;07/01/2019;16:01:00;1;;;;;;
1474;07/01/2019;16:02:00;1;;;;;;
1475;07/01/2019;16:02:00;1;;;;;;
62411;07/01/2019;16:03:00;1;;;;;;
1712;07/01/2019;16:04:00;1;;;;;;
62414;07/01/2019;16:09:00;1;;;;;;
1478;07/01/2019;16:10:00;1;;;;;;
1479;07/01/2019;16:13:00;1;;;;;;
1331;07/01/2019;16:15:00;1;;;;;;
